name,warranty,shipping,ships_in,country_of_origin,sin,part_no,gsa_schedule
ATE15-50DMG - Kepco Inc. ATE 1000W Series of instrument-grade digital power supplies - 15 Output volts and 50 Amps output current,5 Years,FOB Destination,8 Weeks,United States,602-17,,GS-24F-0066M Exp. 10 Sep. 2022
707-401-00 - GE Druck XGM868I EPROM with Instrument Program,0 Stnd,FOB Destination,60 Days,Great Britain (UK),602-40,,GS-24F-0066M Exp. 10 Sep. 2022
"TC4331-F1R4 - VXL Instruments Processor: VIA C7, 1 GHz; Flash: 32MB, RAM: 256MB . Power Supply: Internal. Weight:2.5 Kg - Ports: 1 x Serial ports, 1 x Parallel port, 4 x USB 2.0 ports, VGA, stereo sound and 2 x PS/2. Network: 10/100 Ethernet. Graphics: 1600x1200. Depth: 32 bit Max. -",1 Year,FOB Destination,8 Weeks,United States,132-8,,GS-35F-0311R Exp. 02 Feb. 2020
"AN200-NIST - Extech Instruments Corp. ANEMOMETER, CFM, WITH NIST, AN200",1 Year,FOB Origin,6 Weeks,China,,,Exp.
"613-83E-ABHF-G1 - Bird Electronic Corporation Signal Booster, 764-869 MHz, SBIII, 1x14 & 1x30 FLTR, High Power, Fiber Head-end, Painted Gray Enclosure",0 Stnd,FOB Destination,6 Weeks,United States,602-2,,GS-24F-0066M Exp. 10 Sep. 2022
"74-38-01-00-6-6-E - Bird Electronic Corporation Multicoupler, Combiner, 132-174 MHz, 6"" T-Pass, no extra Tx cav, 6x4"" Rx, 6 Channel, Peg Rack",0 Stnd,FOB Destination,6 Weeks,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"74-38-01-4V-6-4-A - Bird Electronic Corporation Multicoupler, Combiner, 132-174 MHz, 6"" T-Pass, 4"" Vari-Notch, 6x4"" Rx, 4 Channel, 19"" RM",0 Stnd,FOB Destination,6 Weeks,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"73-67-25-2HD-01 - Bird Electronic Corporation Combiner, 406-512 MHz, T-Pass, Tx, 1 Channel, 10"" Diameter 3/4 Wave Cavity, Dual Isolator High Power, 5W/100W",0 Stnd,FOB Destination,6 Weeks,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
7810-50-EFW-1Y - Guildline Instruments Limited Adds 1 Additional Year of Factory Standard Warrant (3 Yrs Total),1 Year,FOB Destination,30 Days,Canada,627-2000,,GS-24F-0066M Exp. 10 Sep. 2022
062-03446-000 - NEC Corporation Additional Fans for Hv2 Enclosure,,FOB Destination,30 Days,Japan,132-8,,Exp.
"74-38-01-4V-6-3-A - Bird Electronic Corporation Multicoupler, Combiner, 132-174 MHz, 6"" T-Pass, 4"" Vari-Notch, 6x4"" Rx, 3 Channel, 19"" RM",0 Stnd,FOB Destination,6 Weeks,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"144118 - Extech Instruments Corp. ADAPTOR, 117 VAC FOR 407780, 407764, 407790",6 Months,FOB Origin,6 Weeks,Taiwan,,,Exp.
U8101-61008 - Keysight Technologies Inc. Instrument Cable ASSY,0 Stnd,Free shipping FOB destination,8 Weeks,,,,Exp.
PWRKI-A8 - Keithley Instruments Inc. Israel,1 Year,FOB Origin,0 Weeks,United States,,,Exp.
6487-EW - Keithley Instruments Inc. 1 YEAR KEITHLEYCARE GOLD PLAN,1 Year,FOB Origin,0 Weeks,United States,,,Exp.
"589250 - Extech Instruments Corp. RS232 PC CABLE FOR RH350, RH355, 42582",6 Months,FOB Origin,6 Weeks,China,,,Exp.
9334A-XH-Ohm - Guildline Instruments Limited Custom Value from 0.000001 Ohm to 0.001 Ohm. Specify Ohmic Value,2 Years,FOB Destination,120 Days,Canada,602-6,,GS-24F-0066M Exp. 10 Sep. 2022
"73-67-25-2D-09-LR - Bird Electronic Corporation Combiner, 406-512 MHz, T-Pass, Tx, 9 Channel, 10"" Diameter 3/4 Wave Cavity, 5W/100W, Less Rack",0 Stnd,FOB Destination,6 Weeks,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
DPO2022B-L0 - Tektronix English front panel on instrument; no printed manual,1 Year,FOB Origin,4 Weeks,China,,,Exp.
MDO3012-L0 - Tektronix English front panel on instrument,1 Year,FOB Origin,4 Weeks,China,,,Exp.
EXTPTSB-M-ENCL-1Y - NEC Corporation 1 YR Extended Platinum Warranty SigmaBlade 1GB Passthru Card Network Blade Installable only to M-ENCL,,FOB Destination,30 Days,United States,132-8,,Exp.
ADV-03553-034 - NEC Corporation ExpressCluster X R2 LAN Edition for Linux Annual upgrade of standard maintenance service to ADVANCED Support Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
UPGLD-FTAM4-3Y - NEC Corporation 3 Years Upgrade to Gold Warranty R320a-M4 Fault Tolerant Server,,FOB Destination,30 Days,United States,132-12,,Exp.
UPGADV-03555-916 - NEC Corporation ExpressCluster X R2 SAN for Linux Upgrade for 3-year ADVANCED maintenance support Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
MSO2024B-L0 - Tektronix English front panel on instrument; no printed manual,1 Year,FOB Origin,4 Weeks,China,,,Exp.
ADV-03456-000 - NEC Corporation ExpressCluster X R2 Internet Server Agent (Windows x64 Edition) Annual upgrade of standard maintenance service to ADVANCED support Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-12,,Exp.
Q24-DN000000001571 - NEC Corporation ExpressCluster X R3 SAN Edition for WindowsUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
EXTPTNF5021SF02E - NEC Corporation 1 Year Extended Platinum Warranty for Option Host Port(4Port->12Port) (D3 only),,FOB Destination,30 Days,United States,132-12,,Exp.
UPGADV-03552-000 - NEC Corporation ExpressCluster X R2 Hybrid Disk Option for (Linux x64 Edition) Upgrade for 3-year ADVANCED maintenance support Support number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
UPGADV-03555-012 - NEC Corporation ExpressCluster X R2 SAN for Linux Upgrade for 3-year ADVANCED maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
UPGLD-A1080A8-3Y - NEC Corporation 3YRS Upgraded Gold Wty A1080a 5-8 Processors in Server,,FOB Destination,30 Days,United States,132-12,,Exp.
UL1610-104-GL - NEC Corporation VMware vSphere 4 Essentials Plus Bundle for 3 hosts (Maximum 2 CPUs per host and 6 cores per CPU),,FOB Destination,30 Days,United States,132-8,,Exp.
UPGLD-FTAE4-3Y - NEC Corporation 3 Years Upgrade to Gold Warranty R320a-E4 Fault Tolerant Server,,FOB Destination,30 Days,United States,132-12,,Exp.
UL1610-107-GL - NEC Corporation VMware vSphere 4 Enterprise Edition for 1 processor (Maximum 6 cores per CPU) (for existing VI3 Enterprise Edition Customers),,FOB Destination,30 Days,United States,132-8,,Exp.
UL1610-106-GL(S) - NEC Corporation 1-year support of VMware vSphere 4 ADV for 1 processor (Maximum 12 cores per CPU),,FOB Destination,30 Days,United States,132-8,,Exp.
050-02292-058 - NEC Corporation ExpressCluster X R2 LAN Edition for Windows (1st year standard maintenance support 0) Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
UL1610-01S-US - NEC Corporation Upgrade VMware vSphere Enterprise Edition to vSphere Enterprise Edition Plus for 1 proc,,FOB Destination,30 Days,United States,132-33,,Exp.
NF5023-CE70A-OEM - NEC Corporation SAS/SATA 2U Disk Enclosure for D-Series w/NEC bezel (6Gbps),,FOB Destination,30 Days,Japan,132-8,,Exp.
UL1610-00U-US - NEC Corporation Upgrade VMware Data Recovery add-on to vSphere Enterprise Edition Plus for 1 processor,,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-DN000000001543 - NEC Corporation ExpressCluster X R3 for Windows - Database Server Agent Option 1-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
"UL1610-00X-US - NEC Corporation VMware Enterprise Edition Plus Acceleration Kit for 8 processors (Includes vSphere Enterprise Edition Plus for 8 processors, 1 vCenter Server STD)",,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-DN000000001547 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001546 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows - Hybrid Disk Option1-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
UPPLT-03457-012-2Y - NEC Corporation ExpressCluster X R2 SAN for VMware ESX Upgrade 1-year Standard to 2-year Platinum SW Maintenance support (1-2 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
UPPLT-03453-034-2Y - NEC Corporation ExpressCluster X R2 SAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (3-4 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
UPPLT-03453-012-2Y - NEC Corporation ExpressCluster X R2 SAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (1-2 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
UPPLT-03452-058-2Y - NEC Corporation ExpressCluster X R2 WAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (5-8 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
UPPLT-03451-034-2Y - NEC Corporation ExpressCluster X R2 LAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (3-4 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
Q24-DN000000001568 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
UPPLT-03451-058-2Y - NEC Corporation ExpressCluster X R2 LAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (5-8 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
Q24-DN000000001569 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001562 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows - Hybrid Disk OptionUpgrade 1-year STANDARD to 3-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001567 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
UPPLT-03451-012-2Y - NEC Corporation ExpressCluster X R2 LAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (1-2 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
"UL1610-00V-US - NEC Corporation VMware ADV Acceleration Kit for 6 processors (Includes vSphere ADV for 6 processors, 1 vCenter Server FND)",,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-DN000000001565 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001540 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows 1-year STANDARD maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
NF5021-SE60E-OEM - NEC Corporation SAS/SATA 2U Disk Enclosure for D-Series w/blank bezel (3Gbps),,FOB Destination,30 Days,Japan,132-8,,Exp.
Q24-DN000000001554 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001539 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows 1-year STANDARD maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001606 - NEC Corporation ExpressCluster X R3 SAN Edition for WindowsUpgrade 1-year STANDARD to 3-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001604 - NEC Corporation ExpressCluster X R3 SAN Edition for WindowsUpgrade 1-year STANDARD to 3-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001625 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 1-year STANDARD maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001592 - NEC Corporation ExpressCluster X R3 for Windows - Internet Server Agent OptionUpgrade 1-year STANDARD to 2-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001596 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001601 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001589 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows Upgrade 1-year STANDARD to 2-year PLATINUM maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001582 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows Upgrade 1-year STANDARD to 2-year PLATINUM maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001626 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows x64 1-year STANDARD maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001631 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64 1-year STANDARD maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001577 - NEC Corporation ExpressCluster X R3 for Windows - Alert Service OptionUpgrade 1-year STANDARD to 1-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001623 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 1-year STANDARD maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001622 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows x64 1-year STANDARD maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001608 - NEC Corporation ExpressCluster X R3 for Windows - Internet Server Agent Option Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
UPPLT-03452-012-2Y - NEC Corporation ExpressCluster X R2 WAN for Windows x64 Upgrade 1-year Standard to 2-year Platinum SW Maintenance Support (1-2 CPUs),,FOB Destination,30 Days,United States,132-34,,Exp.
Q24-DN000000001607 - NEC Corporation ExpressCluster X R3 for Windows - Database Server Agent Option Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001609 - NEC Corporation ExpressCluster X R3 for Windows - Alert Service Option Upgrade 1-year STANDARD to 3-year PLATINUM maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
"D-1111-01 - Synnex Corporation - OEM Dell T3400 PC secured by Talis, with one restricted (Red) domain and one unrestricted (Green) domain.One restricted NIC and no unrestricted NIC.",,FOB Destination,30 Days,United States,132-8,,Exp.
"162-03631-000 - NEC Corporation Red Hat Enterprise Linux 5.4 Advanced Platform Premium Subscription (3yr)-24x7 phone support, web support, unlimited incidents",,FOB Destination,30 Days,United States,132-33,,Exp.
"POW-DC1200-Base - Synnex Corporation - OEM PowerCart Systems-Base 100AH, 450W, 10A - Base 100AH Battery, 450W MSW Inverter, 10A Charger,",,FOB Destination,30 Days,United States,132-8,,Exp.
UPPLT-03456-000-2Y - NEC Corporation ExpressCluster X R2 Internet Server Agent for Windows x64 Upgrade 1-year Standard to 2-year Platinum maintenance support Per Node,,FOB Destination,30 Days,United States,132-34,,Exp.
Q24-DN000000001564 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows Upgrade 1-year STANDARD to 1-year PLATINUM maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001561 - NEC Corporation ExpressCluster X R3 for Windows - Alert Service OptionUpgrade 1-year STANDARD to 3-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001560 - NEC Corporation ExpressCluster X R3 for Windows - Internet Server Agent OptionUpgrade 1-year STANDARD to 3-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
P-R320-00 - Synnex Corporation - OEM Talis CRU DataPort® 5+ Frame with Talis CRU DataPort® 5+ Removable Drive Enclosure with 320 GB SATA HDD for use in Red domain systems.,,FOB Destination,30 Days,United States,132-8,,Exp.
"P-F001-00 - Synnex Corporation - OEM Talis CRU DataPort® 5+ Frame for use in Talis secured OEM desktop units with with restricted (Red, Yellow) domain requirements.",,FOB Destination,30 Days,United States,132-8,,Exp.
Q24-DN000000001555 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (1-2),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001553 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001548 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (3-4),,FOB Destination,30 Days,Japan,132-33,,Exp.
UFSD51-8302N1AM - NEC Corporation StoragePowerConserver - D8-3020 (2 node -> 3 node),,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001550 - NEC Corporation ExpressCluster X R3 LAN Edition for Windows Upgrade 1-year STANDARD to 3-year STANDARD maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
UFSD51-8301N1AM - NEC Corporation StoragePowerConserver - D8-30 (1 node -> 2 node),,FOB Destination,30 Days,Japan,132-33,,Exp.
ADV-03553-916 - NEC Corporation ExpressCluster X R2 LAN Edition for Linux Annual upgrade of standard maintenance service to ADVANCED Support Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
Q24-DN000000001544 - NEC Corporation ExpressCluster X R3 for Windows - Internet Server Agent Option1-year STANDARD maintenance and support,,FOB Destination,30 Days,Japan,132-33,,Exp.
Q24-DN000000001541 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows 1-year STANDARD maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
SWS-02292-058 - NEC Corporation ExpressCluster X R2 LAN Edition for Windows Annual standard maintenance support Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-DN000000001538 - NEC Corporation ExpressCluster X R3 WAN Edition for Windows 1-year STANDARD maintenance and support (9-16),,FOB Destination,30 Days,Japan,132-33,,Exp.
SWS-02292-012 - NEC Corporation ExpressCluster X R2 LAN Edition for Windows Annual standard maintenance support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-33,,Exp.
Q24-DN000000001632 - NEC Corporation ExpressCluster X R3 SAN Edition for Windows x64 1-year STANDARD maintenance and support (5-8),,FOB Destination,30 Days,Japan,132-33,,Exp.
ADV-03549-916 - NEC Corporation ExpressCluster X R2 SAN Edition for Linux x64 Annual upgrade of standard maintenance service to ADVANCED support Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
ADV-03551-000 - NEC Corporation ExpressCluster X R2 Internet Server Agent (Linux x64 Edition) Annual upgrade of standard maintenance service to ADVANCED support Support number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
UFSD13-82N1AM - NEC Corporation ReallocationControl - D8 series 2 node model (1 node addition),,FOB Destination,30 Days,Japan,132-33,,Exp.
NE3100-301 - NEC Corporation Power Module - 1 Or 2 Can Be Added Per One Base Unit -- Requires 1 x NE3107-001 AC power cable for each power module,,FOB Destination,30 Days,Japan,132-8,,Exp.
050-03637-000 - NEC Corporation 2GB DDR3-1066/800 SDRAM DIMM. BTO: Must be ordered in multiples of 2 to mainatian Fault Tolerance (MAX 24 Slots),,FOB Destination,30 Days,Korea (South),132-8,,Exp.
ADV-03461-916 - NEC Corporation ExpressCluster X R2 SAN Edition for Xen Annual upgrade of standard maintenance service to PLATINUM support Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-34,,Exp.
ADV-03459-034 - NEC Corporation ExpressCluster X R2 SAN Edition for MS Hyper-V Annual upgrade of standard maintenance service to ADVANCED support Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-34,,Exp.
ADV-03547-058 - NEC Corporation ExpressCluster X R2 LAN Edition for Linux x64 Annual upgrade of standard maintenance service to ADVANCED support Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
ADV-03457-012 - NEC Corporation ExpressCluster X R2 SAN Edition for VMware ESX Annual upgrade of standard maintenance service to ADVANCED support Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,United States,132-8,,Exp.
ADV-03458-012 - NEC Corporation ExpressCluster X R2 BRE for Windows x64 Annual upgrade of standard maintenance service to ADVANCED support Number of CPUs per Node is 1 - 2.Supported number of nodes per license is 1,,FOB Destination,30 Days,United States,132-34,,Exp.
"99900318 - Q-Matic Corporation 32"" Flat Screen TV with DVI and Speakers (w/o bracket)",0 Stnd,FOB Origin,8 Weeks,,,,Exp.
99900565 - Q-Matic Corporation Control 12C/T Compact Ceiling Speaker,0 Stnd,FOB Origin,8 Weeks,,,,Exp.
"99900320 - Q-Matic Corporation 19"" Flat Screen TV (w/o bracket)",0 Stnd,FOB Origin,8 Weeks,,,,Exp.
TM1011 - Q-Matic Corporation Ceiling Bracket for Flat Screen TV (requires extension pole),0 Stnd,FOB Origin,8 Weeks,,,,Exp.
920.000.07 - Motion Computing Training Course - Additional Day Motion Corporate hosted Austin TX,,FOB Destination,30 Days,United States,132-12,,Exp.
TRN-TECH-L2-FT - NEC Corporation Express5800 FT Advanced Architecture and Troubleshooting,,FOB Destination,30 Days,United States,132-12,,Exp.
UFS203-2320LXAM - NEC Corporation PathManager Standard for Linux,,FOB Destination,30 Days,Japan,132-8,,Exp.
99900415 - Q-Matic Corporation Audio / VGA Video over Cat5 - 4 Port Transmitter,0 Stnd,FOB Origin,8 Weeks,,,,Exp.
162-03019-000 - NEC Corporation Ultra 320 1 port Tape HBA (U527-LF),,FOB Destination,30 Days,United States,132-8,,Exp.
162-01981-001 - NEC Corporation 2GB DDR2-667 SDRAM FBDIMM,,FOB Destination,30 Days,United States,132-8,,Exp.
050-03518-000 - NEC Corporation Microsoft Windows Server 2008 Datacenter x64 Edition,,FOB Destination,30 Days,United States,132-8,,Exp.
NE3100-004 - NEC Corporation Conversion Kit from Express5800/A1080a-S/D to Express5800/A1080a-E,,FOB Destination,30 Days,Japan,132-8,,Exp.
UPGLDSBL310GW-3Y - NEC Corporation 3 YRS Upgrade to Gold Warranty SigmaBlade 10GB L3 Switch Network Blade,,FOB Destination,30 Days,United States,132-8,,Exp.
050-03553-012 - NEC Corporation ExpressCluster X R2 LAN Edition for Linux x32 (1st year standard maintenance support included) Number of CPUs per node 1-2 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
UPGLDSB-MENCL-3Y - NEC Corporation 3 YRS Upgrade to Gold Warranty SigmaBlade 1GB Passthru Card Network Blade Installable only to M-ENCL,,FOB Destination,30 Days,United States,132-8,,Exp.
050-03549-916 - NEC Corporation ExpressCluster X R2 SAN Edition for Linux x64 (1st year standard maintenance service included) Number of CPUs per node 9-16 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
050-03548-058 - NEC Corporation ExpressCluster X R2 WAN Edition for Linux x64 (1st year standard maintenance service included) Number of CPUs per node 5-8 Supported number of nodes per license,,FOB Destination,30 Days,Japan,132-8,,Exp.
050-03550-000 - NEC Corporation ExpressCluster X R2 Database Agent (Linux x64 Edition) (1st year standard maintenance service included) Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
050-03549-034 - NEC Corporation ExpressCluster X R2 SAN Edition for Linux x64 (1st year standard maintenance service included) Number of CPUs per node 3-4 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
050-03549-058 - NEC Corporation ExpressCluster X R2 SAN Edition for Linux x64 (1st year standard maintenance service included) Number of CPUs per node 5-8 Supported number of nodes per license 1,,FOB Destination,30 Days,Japan,132-8,,Exp.
EXTPTSB24PTFC-1Y - NEC Corporation 1 YR Extended Platinum Warranty SigmaBlade 4G FC 24-Port Swtich - Network Blade,,FOB Destination,30 Days,United States,132-8,,Exp.
1760NLAPTOP-HH - Synnex Corporation - OEM CS-Harlem Hospital Flo 1760 integration bundle,,FOB Destination,30 Days,United States,132-8,,Exp.
EXTST-FTAM4-1Y - NEC Corporation 1 Year Extended Standard Warranty R320a-M4 Fault Tolerant Server,,FOB Destination,30 Days,United States,132-12,,Exp.
SP-GX00-STIN001 - NEC Corporation A1080 Standard Installation,,FOB Destination,30 Days,United States,132-12,,Exp.
162-03345-000 - NEC Corporation VMware Infrastructure 3 Standard for 2 processors with 1st year Support,,FOB Destination,30 Days,United States,132-33,,Exp.
