name,warranty,shipping,ships_in,country_of_origin,sin,part_no,gsa_schedule
783396-35 - National Instruments Corporation NI Software Calibration Management Toolkit,0 Stnd,FOB Destination,10 Days,Ireland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778489-02 - National Instruments Corporation NI-Device Plus for Windows,0 Stnd,FOB Destination,10 Days,Ireland,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"190957-05 - National Instruments Corporation MXI-4 Copper Cable, 5 m",0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"190957-10 - National Instruments Corporation MXI-4 Copper Cable, 10 m",0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781250-01 - National Instruments Corporation EVS-1463RT,0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778353-01 - National Instruments Corporation SMA 50 OHM Termination Plug,0 Stnd,FOB Destination,30 Days,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
779343-35 - National Instruments Corporation Vision Builder AI Development Kit License,0 Stnd,FOB Destination,10 Days,Ireland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
745688-32 - National Instruments Corporation Spring Loaded Fitting,0 Stnd,FOB Destination,30 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
745688-37 - National Instruments Corporation Tubing Cutter,0 Stnd,FOB Destination,20 Days,Taiwan,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"777722-02 - National Instruments Corporation SC-2345, SCC Carrier with configurable connectors -",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"188376-01 - National Instruments Corporation MCX Plug to SMB Plug, 1 m",0 Stnd,FOB Destination,15 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"779189-01 - National Instruments Corporation CAN Device Simulator, US 120 VAC",0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781341-01 - National Instruments Corporation NI 1483 Camera Link Adapter Module,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782040-35 - National Instruments Corporation NI FM/RDS Measurement Suite,0 Stnd,FOB Destination,10 Days,Ireland,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
778546-35 - National Instruments Corporation NI Switch Executive Development System,0 Stnd,FOB Destination,10 Days,Ireland,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
185377-01 - National Instruments Corporation Potentiometer Panelette for the CA 1000 Style Enclosure,0 Stnd,FOB Destination,30 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
782037-35 - National Instruments Corporation NI Bluetooth Measurement Suite,0 Stnd,FOB Destination,10 Days,Ireland,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"782313-01 - National Instruments Corporation Tripod Mount, Basler A504 camera",0 Stnd,FOB Destination,20 Days,Germany,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781169-01 - National Instruments Corporation NI PCIe-1433,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782706-3501 - National Instruments Corporation NI Audiomaster Software - Analog,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
182767-01 - National Instruments Corporation GPIB Bulkhead Adapter (Reverse),0 Stnd,FOB Destination,10 Days,Taiwan,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
779890-35 - National Instruments Corporation NI Automotive Diagnostic Command Set,0 Stnd,FOB Destination,10 Days,Ireland,627-9,,GS-24F-0066M Exp. 10 Sep. 2022
778489-01 - National Instruments Corporation NI-Device Standard for Windows,0 Stnd,FOB Destination,10 Days,Ireland,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
